participant_id,source_file,session_duration_min,total_consultation_episodes,first_consultation_sec,consultations_per_minute,early_consultations,middle_consultations,late_consultations,time_to_first_consultation_from_first_edit_sec,time_to_first_consultation_from_chat_open_sec,has_messages_field,has_chatEvents_field,has_editor_field
AVLUANYLU,AVLUANYLU.txt,3.5882,1,53.733,0.2787,1,0,0,49.308,,True,False,True
OCAYKWSA,OCAYKWSA.txt,3.0865,1,22.86,0.324,1,0,0,,,True,False,False
OLAN8ANC,OLAN8ANC.txt,3.3808,0,,0.0,0,0,0,,,False,False,True
PIZX0FFB,PIZX0FFB.txt,3.2612,1,50.248,0.3066,1,0,0,47.495,10.231,True,True,True
TLV9S9OO,TLV9S9OO.txt,3.224,2,42.059,0.6203,1,0,1,37.917,22.026,True,True,True
