participant_id,source_file,number_of_consultation_episodes,mean_words_written_in_pre_window,mean_words_written_in_post_window,mean_words_deleted_in_pre_window,mean_words_deleted_in_post_window,mean_words_edited_in_pre_window,mean_words_edited_in_post_window,mean_net_word_change_in_pre_window,mean_net_word_change_in_post_window,mean_burst_count_in_pre_window,mean_burst_count_in_post_window,mean_burst_words_added_in_pre_window,mean_burst_words_added_in_post_window,has_messages_field,has_editor_field
TLV9S9OO,TLV9S9OO.txt,2,8.0,10.0,0.0,0.0,0.5,0.0,8.0,10.5,3.0,2.5,1.0,3.3334,True,True
OCAYKWSA,OCAYKWSA.txt,1,,,,,,,,,0.0,0.0,,,True,True
AVLUANYLU,AVLUANYLU.txt,1,17.0,22.0,0.0,0.0,0.0,0.0,17.0,22.0,5.0,1.0,2.4,21.0,True,True
PIZX0FFB,PIZX0FFB.txt,1,0.0,6.0,0.0,0.0,17.0,0.0,16.0,6.0,3.0,2.0,5.0,2.0,True,True
OLAN8ANC,OLAN8ANC.txt,0,,,,,,,,,,,,,True,True
