source_file,participant_id,condition,created_at,has_messages,has_chat_events,message_count,chat_event_count,session_end_ms,session_duration_min,pause_threshold_ms,first_editor_t_ms,last_editor_t_ms,editor_duration_min,initial_word_count,final_word_count,total_words_added,net_words_added,words_added_per_minute,net_words_per_minute,pause_count,pause_frequency_per_minute,mean_pause_duration_sec,median_pause_duration_sec,max_pause_duration_sec,burst_count,mean_burst_duration_sec,mean_burst_words_added,max_burst_words_added
AVLUANYLU.txt,AVLUANYLU,,,True,False,6,0,215293,3.5882,2000,4425,215293,3.5145,1,100,103,99,29.3074,28.1693,15,4.1803,8.0017,2.713,42.404,16,5.6776,5.625,26
OLAN8ANC.txt,OLAN8ANC,,,False,False,0,0,202846,3.3808,2000,4111,202846,3.3123,1,66,71,65,21.4356,19.6241,23,6.8032,5.8963,3.875,33.463,24,2.63,2.3333,10
PIZX0FFB.txt,PIZX0FFB,,,True,True,8,1,195672,3.2612,2000,2753,195672,3.2153,1,64,70,63,21.7708,19.5937,10,3.0664,12.6922,4.394,89.199,11,5.9997,5.4545,15
TLV9S9OO.txt,TLV9S9OO,,,True,True,10,7,193441,3.224,2000,4142,193441,3.155,1,62,65,61,20.6023,19.3345,16,4.9628,8.7166,4.1515,45.038,17,2.9314,2.4706,8
